,Rank,Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
0,1,https://www.goodreads.com/book/show/61431922-fourth-wing,Fourth Wing,Rebecca Yarros,Dragons,English,4.57,"2,257,987","May 2, 2023",517,143k,1m
1,2,https://www.goodreads.com/book/show/61718053-happy-place,Happy Place,Emily Henry,Romance,English,3.97,"1,120,516","April 25, 2023",400,51.9k,940k
2,3,https://www.goodreads.com/book/show/62047984-yellowface,Yellowface,R.F. Kuang,Fiction,English,3.75,"696,677","May 16, 2023",336,32k,839k
3,4,https://www.goodreads.com/book/show/60784546-divine-rivals,Divine Rivals,Rebecca Ross,Romance,English,4.18,"559,773","April 4, 2023",357,37.9k,799k
4,5,https://www.goodreads.com/book/show/61326735-love-theoretically,"Love, Theoretically",Ali Hazelwood,Romance,English,4.10,"496,025","June 13, 2023",389,13.2k,513k
5,6,https://www.goodreads.com/book/show/90202302-iron-flame,Iron Flame,Rebecca Yarros,Romantasy,English,4.36,"1,536,028","November 7, 2023",640,158k,567k
6,7,https://www.goodreads.com/book/show/62816044-a-curse-for-true-love,A Curse for True Love,Stephanie Garber,Fantasy,English,4.13,"258,351","October 24, 2023",386,"6,414",269k
7,8,https://www.goodreads.com/book/show/60531406-tress-of-the-emerald-sea,Tress of the Emerald Sea,Brandon Sanderson,Fantasy,English,4.37,"184,836","January 10, 2023",443,15.3k,310k
8,9,https://www.goodreads.com/book/show/61198133-the-stolen-heir,The Stolen Heir,Holly Black,Young Adult,English,3.95,"133,704","January 3, 2023",356,11.5k,274k
9,10,https://www.goodreads.com/book/show/60657589-emily-wilde-s-encyclopaedia-of-faeries,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,Fantasy,English,4.00,"134,857","January 10, 2023",317,11.5k,382k
10,11,https://www.goodreads.com/book/show/61771675-hello-beautiful,Hello Beautiful,Ann Napolitano,Fiction,English,4.15,"413,500","March 14, 2023",416,33.1k,496k
11,12,https://www.goodreads.com/book/show/60652997-hell-bent,Hell Bent,Leigh Bardugo,Fantasy,English,4.12,"148,720","January 10, 2023",481,"8,146",303k
12,13,https://www.goodreads.com/book/show/61918816-yours-truly,Yours Truly,Abby Jimenez,Romance,English,4.31,"538,718","April 11, 2023",416,20.4k,489k
13,14,https://www.goodreads.com/book/show/84943172-the-right-move,The Right Move,Liz Tomforde,Romance,English,4.41,"273,971","February 7, 2023",499,12.9k,245k
14,15,https://www.goodreads.com/book/show/60784636-all-the-dangerous-things,All the Dangerous Things,Stacy Willingham,Thriller,English,4.06,"225,556","January 10, 2023",326,10.3k,370k
15,16,https://www.goodreads.com/book/show/62926938-the-seven-year-slip,The Seven Year Slip,Ashley Poston,Romance,English,4.20,"337,481","June 27, 2023",336,18.9k,534k
16,17,https://www.goodreads.com/book/show/61294937-the-adventures-of-amina-al-sirafi,The Adventures of Amina al-Sirafi,Shannon Chakraborty,Fantasy,English,4.27,"59,042","February 28, 2023",483,"5,928",205k
17,18,https://www.goodreads.com/book/show/62335396-the-ashes-the-star-cursed-king,The Ashes & the Star-Cursed King,Carissa Broadbent,Fantasy,English,4.12,"297,229","April 14, 2023",665,38.3k,241k
18,19,https://www.goodreads.com/book/show/61681786-final-offer,Final Offer,Lauren Asher,Romance,English,4.21,"261,421","January 23, 2023",583,14.5k,328k
19,20,https://www.goodreads.com/book/show/62919732-lady-tan-s-circle-of-women,Lady Tan’s Circle of Women,Lisa See,Historical Fiction,English,4.35,"141,355","June 6, 2023",352,11.8k,230k
20,21,https://www.goodreads.com/book/show/61827543-vera-wong-s-unsolicited-advice-for-murderers,Vera Wong's Unsolicited Advice for Murderers,Jesse Q. Sutanto,Mystery,English,4.03,"121,216","March 14, 2023",339,"5,529",206k
21,22,https://www.goodreads.com/book/show/60784605-maame,Maame,Jessica George,Fiction,English,4.06,"105,881","January 31, 2023",320,"5,544",203k
22,23,https://www.goodreads.com/book/show/60654349-weyward,Weyward,Emilia Hart,Historical Fiction,English,4.07,"255,619","February 2, 2023",329,21.3k,480k
23,24,https://www.goodreads.com/book/show/63241104-tom-lake,Tom Lake,Ann Patchett,Fiction,English,3.97,"380,816","August 1, 2023",309,36.1k,387k
24,25,https://www.goodreads.com/book/show/116536542-things-we-left-behind,Things We Left Behind,Lucy Score,Romance,English,4.41,"330,390","September 5, 2023",592,27.3k,355k
25,26,https://www.goodreads.com/book/show/59414094-how-to-sell-a-haunted-house,How to Sell a Haunted House,Grady Hendrix,Horror,English,3.66,"129,840","January 17, 2023",419,"7,275",229k
26,27,https://www.goodreads.com/book/show/62994279-king-of-pride,King of Pride,Ana Huang,Romance,English,3.93,"248,889","April 27, 2023",358,23k,242k
27,28,https://www.goodreads.com/book/show/53344030-heartstopper,Heartstopper: Volume Five,Alice Oseman,Graphic Novels,English,4.48,"161,164","December 7, 2023",336,"2,731",109k
28,29,https://www.goodreads.com/book/show/60784549-in-the-lives-of-puppets,In the Lives of Puppets,T.J. Klune,Fantasy,English,3.92,"81,357","April 25, 2023",432,"6,040",199k
29,30,https://www.goodreads.com/book/show/62334530-none-of-this-is-true,None of This Is True,Lisa Jewell,Thriller,English,4.11,"744,128","July 20, 2023",390,28.1k,704k
30,31,https://www.goodreads.com/book/show/108518990-reckless,Reckless,Elsie Silver,Romance,English,4.38,"253,597","June 9, 2023",466,14.3k,177k
31,32,https://www.goodreads.com/book/show/61214136-the-collected-regrets-of-clover,The Collected Regrets of Clover,Mikki Brammer,Fiction,English,4.17,"88,514","May 9, 2023",320,"4,280",203k
32,33,https://www.goodreads.com/book/show/62361081-the-true-love-experiment,The True Love Experiment,Christina Lauren,Romance,English,4.10,"158,262","May 16, 2023",409,"7,913",206k
33,34,https://www.goodreads.com/book/show/62926992-the-wishing-game,The Wishing Game,Meg Shaffer,Fiction,English,4.05,"155,164","May 30, 2023",304,"8,126",367k
34,35,https://www.goodreads.com/book/show/62296528-spare,Spare,Prince Harry,Nonfiction,English,3.85,"391,593","January 10, 2023",410,46k,233k
35,36,https://www.goodreads.com/book/show/62703226-the-only-one-left,The Only One Left,Riley Sager,Thriller,English,4.13,"392,070","June 20, 2023",383,17k,441k
36,37,https://www.goodreads.com/book/show/60766189-a-day-of-fallen-night,A Day of Fallen Night,Samantha Shannon,Fantasy,English,4.35,"40,633","February 28, 2023",868,10.1k,242k
37,38,https://www.goodreads.com/book/show/63031640-powerless,Powerless,Elsie Silver,Romance,English,4.07,"272,723","February 10, 2023",504,16.4k,179k
38,39,https://www.goodreads.com/book/show/61361681-clytemnestra,Clytemnestra,Costanza Casati,Mythology,English,4.24,"36,756","May 2, 2023",435,"3,366",191k
39,40,https://www.goodreads.com/book/show/60784373-what-lies-in-the-woods,What Lies in the Woods,Kate Alice Marshall,Thriller,English,3.95,"159,036","January 17, 2023",336,"6,906",324k
40,41,https://www.goodreads.com/book/show/63847274-a-soul-of-ash-and-blood,A Soul of Ash and Blood,Jennifer L. Armentrout,Romance,English,3.90,"113,781","July 18, 2023",712,10.5k,167k
41,42,https://www.goodreads.com/book/show/62628727-romantic-comedy,Romantic Comedy,Curtis Sittenfeld,Romance,English,3.63,"216,016","April 4, 2023",309,12.5k,235k
