Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
https://www.goodreads.com/book/show/11588.The_Shining,The Shining,Stephen King,Horror,English,4.28,"1,576,607","January 28, 1977",497,39.5k,973k
https://www.goodreads.com/book/show/830502.It,It,Stephen King,Horror,English,4.24,"1,174,602","September 15, 1986",1116,64.1k,855k
https://www.goodreads.com/book/show/87591651-the-stand,The Stand,Stephen King,Horror,English,4.35,"788,991","October 3, 1978",Audiobook,44.2k,496k
https://www.goodreads.com/book/show/10614.Misery,Misery,Stephen King,Horror,English,4.23,"776,841","June 8, 1987",370,15.4k,459k
https://www.goodreads.com/book/show/10592.Carrie,Carrie,Stephen King,Horror,English,3.99,"773,072","April 5, 1974",272,11.4k,405k
https://www.goodreads.com/book/show/33124137-pet-sematary,Pet Sematary,Stephen King,Horror,English,4.07,"635,191","November 14, 1983",580,15.3k,301k
https://www.goodreads.com/book/show/10644930-11-22-63,11/22/63,Stephen King,Fiction,English,4.34,"577,183","November 8, 2011",849,36.4k,538k
https://www.goodreads.com/book/show/11590._Salem_s_Lot,’Salem’s Lot,Stephen King,Horror,English,4.1,"609,744","October 17, 1975",483,19.4k,279k
https://www.goodreads.com/book/show/43615.The_Gunslinger,The Gunslinger,Stephen King,Fantasy,English,3.92,"631,986","June 1, 1982",231,22.4k,348k
https://www.goodreads.com/book/show/11566.The_Green_Mile,The Green Mile,Stephen King,Horror,English,4.48,"336,470","January 1, 1996",592,"7,552",213k
https://www.goodreads.com/book/show/18775247-mr-mercedes,Mr. Mercedes,Stephen King,Horror,English,4.03,"342,559","June 3, 2014",437,16.6k,269k
https://www.goodreads.com/book/show/36124936-the-outsider,The Outsider,Stephen King,Horror,English,4.01,"337,116","May 22, 2018",561,33.6k,377k
https://www.goodreads.com/book/show/10569.On_Writing,On Writing: A Memoir of the Craft,Stephen King,Nonfiction,English,4.34,"299,557","January 1, 2000",320,17.1k,300k
https://www.goodreads.com/book/show/43798285-the-institute,The Institute,Stephen King,Horror,English,4.2,"301,004","September 10, 2019",561,30.5k,344k
https://www.goodreads.com/book/show/6320534-under-the-dome,Under the Dome,Stephen King,Horror,English,3.92,"309,526","January 1, 2009",1074,12.8k,236k
https://www.goodreads.com/book/show/60177373-fairy-tale,Fairy Tale,Stephen King,Fantasy,English,4.1,"284,285","September 6, 2022",599,38.1k,316k
https://www.goodreads.com/book/show/5094.The_Drawing_of_the_Three,The Drawing of the Three,Stephen King,Fantasy,English,4.23,"273,072","May 1, 1987",463,"8,082",77.4k
https://www.goodreads.com/book/show/10603.Cujo,Cujo,Stephen King,Horror,Spanish; Castilian,3.79,"300,485","January 1, 1981",432,"3,776",166k
https://www.goodreads.com/book/show/16130549-doctor-sleep,Doctor Sleep,Stephen King,Horror,English,4.13,"275,409","September 24, 2013",531,15k,239k
https://www.goodreads.com/book/show/107291.Needful_Things,Needful Things,Stephen King,Horror,English,3.97,"262,144","October 1, 1991",790,"6,335",126k
https://www.goodreads.com/book/show/34084.The_Waste_Lands,The Waste Lands,Stephen King,Fantasy,English,4.25,"231,924","August 1, 1991",422,"6,528",69.4k
