Unnamed: 0,Rank,Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
0,1,https://www.goodreads.com/book/show/61431922-fourth-wing,Fourth Wing,Rebecca Yarros,Dragons,English,4.57,2257987.0,"May 2, 2023",517.0,143000.0,16100.0
1,2,https://www.goodreads.com/book/show/61718053-happy-place,Happy Place,Emily Henry,Romance,English,3.97,1120516.0,"April 25, 2023",400.0,51900.0,940000.0
2,3,https://www.goodreads.com/book/show/62047984-yellowface,Yellowface,R.F. Kuang,Fiction,English,3.75,696677.0,"May 16, 2023",336.0,32000.0,839000.0
3,4,https://www.goodreads.com/book/show/60784546-divine-rivals,Divine Rivals,Rebecca Ross,Romance,English,4.18,559773.0,"April 4, 2023",357.0,37900.0,799000.0
4,5,https://www.goodreads.com/book/show/61326735-love-theoretically,"Love, Theoretically",Ali Hazelwood,Romance,English,4.1,496025.0,"June 13, 2023",389.0,13200.0,513000.0
5,6,https://www.goodreads.com/book/show/90202302-iron-flame,Iron Flame,Rebecca Yarros,Romantasy,English,4.36,1536028.0,"November 7, 2023",640.0,158000.0,567000.0
6,7,https://www.goodreads.com/book/show/62816044-a-curse-for-true-love,A Curse for True Love,Stephanie Garber,Fantasy,English,4.13,258351.0,"October 24, 2023",386.0,6414.0,269000.0
7,8,https://www.goodreads.com/book/show/60531406-tress-of-the-emerald-sea,Tress of the Emerald Sea,Brandon Sanderson,Fantasy,English,4.37,184836.0,"January 10, 2023",443.0,15300.0,310000.0
8,9,https://www.goodreads.com/book/show/61198133-the-stolen-heir,The Stolen Heir,Holly Black,Young Adult,English,3.95,133704.0,"January 3, 2023",356.0,11500.0,274000.0
9,10,https://www.goodreads.com/book/show/60657589-emily-wilde-s-encyclopaedia-of-faeries,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,Fantasy,English,4.0,134857.0,"January 10, 2023",317.0,11500.0,382000.0
10,11,https://www.goodreads.com/book/show/61771675-hello-beautiful,Hello Beautiful,Ann Napolitano,Fiction,English,4.15,413500.0,"March 14, 2023",416.0,33100.0,496000.0
11,12,https://www.goodreads.com/book/show/60652997-hell-bent,Hell Bent,Leigh Bardugo,Fantasy,English,4.12,148720.0,"January 10, 2023",481.0,8146.0,303000.0
12,13,https://www.goodreads.com/book/show/61918816-yours-truly,Yours Truly,Abby Jimenez,Romance,English,4.31,538718.0,"April 11, 2023",416.0,20400.0,489000.0
13,14,https://www.goodreads.com/book/show/84943172-the-right-move,The Right Move,Liz Tomforde,Romance,English,4.41,273971.0,"February 7, 2023",499.0,12900.0,245000.0
14,15,https://www.goodreads.com/book/show/60784636-all-the-dangerous-things,All the Dangerous Things,Stacy Willingham,Thriller,English,4.06,225556.0,"January 10, 2023",326.0,10300.0,370000.0
