Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read,Age at Publication
https://www.goodreads.com/book/show/11588.The_Shining,The Shining,Stephen King,Horror,English,4.28,"1,576,607",1977-01-28,497.0,39500.0,973000.0,29.35523613963039
https://www.goodreads.com/book/show/830502.It,It,Stephen King,Horror,English,4.24,"1,174,602",1986-09-15,1116.0,64100.0,855000.0,38.98425735797399
https://www.goodreads.com/book/show/87591651-the-stand,The Stand,Stephen King,Horror,English,4.35,"788,991",1978-10-03,299.0,44200.0,496000.0,31.033538672142367
https://www.goodreads.com/book/show/10614.Misery,Misery,Stephen King,Horror,English,4.23,"776,841",1987-06-08,370.0,15400.0,459000.0,39.71252566735113
https://www.goodreads.com/book/show/10592.Carrie,Carrie,Stephen King,Horror,English,3.99,"773,072",1974-04-05,272.0,11400.0,405000.0,26.537987679671456
https://www.goodreads.com/book/show/33124137-pet-sematary,Pet Sematary,Stephen King,Horror,English,4.07,"635,191",1983-11-14,580.0,15300.0,301000.0,36.14784394250513
https://www.goodreads.com/book/show/10644930-11-22-63,11/22/63,Stephen King,Fiction,English,4.34,"577,183",2011-11-08,849.0,36400.0,538000.0,64.13141683778234
https://www.goodreads.com/book/show/11590._Salem_s_Lot,’Salem’s Lot,Stephen King,Horror,English,4.1,"609,744",1975-10-17,483.0,19400.0,279000.0,28.071184120465436
https://www.goodreads.com/book/show/43615.The_Gunslinger,The Gunslinger,Stephen King,Fantasy,English,3.92,"631,986",1982-06-01,231.0,22400.0,348000.0,34.69404517453799
https://www.goodreads.com/book/show/11566.The_Green_Mile,The Green Mile,Stephen King,Horror,English,4.48,"336,470",1996-01-01,592.0,0.0,213000.0,48.27926078028747
https://www.goodreads.com/book/show/18775247-mr-mercedes,Mr. Mercedes,Stephen King,Horror,English,4.03,"342,559",2014-06-03,437.0,16600.0,269000.0,66.69952087611225
https://www.goodreads.com/book/show/36124936-the-outsider,The Outsider,Stephen King,Horror,English,4.01,"337,116",2018-05-22,561.0,33600.0,377000.0,70.66666666666667
https://www.goodreads.com/book/show/10569.On_Writing,On Writing: A Memoir of the Craft,Stephen King,Nonfiction,English,4.34,"299,557",2000-01-01,320.0,17100.0,300000.0,52.27926078028747
https://www.goodreads.com/book/show/43798285-the-institute,The Institute,Stephen King,Horror,English,4.2,"301,004",2019-09-10,561.0,30500.0,344000.0,71.96988364134155
https://www.goodreads.com/book/show/6320534-under-the-dome,Under the Dome,Stephen King,Horror,English,3.92,"309,526",2009-01-01,1074.0,12800.0,236000.0,61.281314168377826
https://www.goodreads.com/book/show/60177373-fairy-tale,Fairy Tale,Stephen King,Fantasy,English,4.1,"284,285",2022-09-06,599.0,38100.0,316000.0,74.9596167008898
https://www.goodreads.com/book/show/5094.The_Drawing_of_the_Three,The Drawing of the Three,Stephen King,Fantasy,English,4.23,"273,072",1987-05-01,463.0,0.0,77400.0,39.60848733744011
https://www.goodreads.com/book/show/10603.Cujo,Cujo,Stephen King,Horror,Spanish; Castilian,3.79,"300,485",1981-01-01,432.0,0.0,166000.0,33.281314168377826
https://www.goodreads.com/book/show/16130549-doctor-sleep,Doctor Sleep,Stephen King,Horror,English,4.13,"275,409",2013-09-24,531.0,15000.0,239000.0,66.00958247775496
https://www.goodreads.com/book/show/107291.Needful_Things,Needful Things,Stephen King,Horror,English,3.97,"262,144",1991-10-01,790.0,0.0,126000.0,44.02737850787132
https://www.goodreads.com/book/show/34084.The_Waste_Lands,The Waste Lands,Stephen King,Fantasy,English,4.25,"231,924",1991-08-01,422.0,0.0,69400.0,43.860369609856264
https://www.goodreads.com/book/show/10629.Christine,Christine,Stephen King,Horror,French,3.85,"250,718",1983-04-29,411.0,0.0,123000.0,35.60301163586585
https://www.goodreads.com/book/show/233667.Firestarter,Firestarter,Stephen King,Horror,English,3.92,"236,277",1980-09-29,564.0,0.0,120000.0,33.02395619438741
https://www.goodreads.com/book/show/39662.Different_Seasons,Different Seasons,Stephen King,Horror,English,4.36,"211,665",1982-01-01,560.0,0.0,122000.0,34.280629705681044
https://www.goodreads.com/book/show/11573.The_Dead_Zone,The Dead Zone,Stephen King,Horror,English,3.97,"232,265",1979-08-30,402.0,0.0,115000.0,31.939767282683093
https://www.goodreads.com/book/show/5096.Wizard_and_Glass,Wizard and Glass,Stephen King,Fantasy,English,4.26,"207,573",1997-11-04,845.0,0.0,69300.0,50.12183436002738
https://www.goodreads.com/book/show/10567.Cell,Cell,Stephen King,Horror,English,3.66,"228,575",2006-01-24,449.0,0.0,121000.0,58.34360027378508
https://www.goodreads.com/book/show/4978.Wolves_of_the_Calla,Wolves of the Calla,Stephen King,Fantasy,English,4.2,"191,476",2003-11-04,960.0,0.0,68000.0,56.120465434633815
https://www.goodreads.com/book/show/10589.Bag_of_Bones,Bag of Bones,Stephen King,Horror,English,3.92,"204,139",1998-09-22,736.0,0.0,124000.0,51.00342231348392
https://www.goodreads.com/book/show/5091.The_Dark_Tower,The Dark Tower,Stephen King,Fantasy,English,4.28,"179,544",2004-09-21,1050.0,0.0,77700.0,57.002053388090346
https://www.goodreads.com/book/show/10628.Night_Shift,Night Shift,Stephen King,Horror,English,4.04,"188,700",1978-01-01,409.0,0.0,123000.0,30.28062970568104
https://www.goodreads.com/book/show/56852407-billy-summers,Billy Summers,Stephen King,Fiction,English,4.19,"171,115",2021-08-03,517.0,14400.0,200000.0,73.8672142368241
https://www.goodreads.com/book/show/23492589-finders-keepers,Finders Keepers,Stephen King,Fiction,English,4.07,"168,324",2015-06-02,434.0,0.0,99400.0,67.69609856262834
https://www.goodreads.com/book/show/5093.Song_of_Susannah,Song of Susannah,Stephen King,Fantasy,English,3.99,"165,653",2004-06-08,544.0,0.0,63300.0,56.714579055441476
https://www.goodreads.com/book/show/11570.Dreamcatcher,Dreamcatcher,Stephen King,Horror,English,3.66,"179,881",2001-02-20,688.0,0.0,87600.0,53.41820670773443
https://www.goodreads.com/book/show/13596166-joyland,Joyland,Stephen King,Horror,English,3.93,"166,821",2013-01-01,285.0,0.0,91800.0,65.28131416837782
https://www.goodreads.com/book/show/813214.The_Mist,The Mist,Stephen King,Horror,English,3.94,"165,374",1980-08-29,176.0,0.0,100000.0,32.93908281998631
https://www.goodreads.com/book/show/7278752-dolores-claiborne,Dolores Claiborne,Stephen King,Horror,English,3.93,"160,421",1992-11-01,388.0,0.0,66700.0,45.11430527036276
https://www.goodreads.com/book/show/10585.Insomnia,Insomnia,Stephen King,Horror,Spanish; Castilian,3.83,"161,106",1994-01-01,896.0,0.0,103000.0,46.280629705681044
https://www.goodreads.com/book/show/11564.The_Girl_Who_Loved_Tom_Gordon,The Girl Who Loved Tom Gordon,Stephen King,Horror,English,3.64,"169,111",1999-04-06,264.0,0.0,74900.0,51.540041067761805
https://www.goodreads.com/book/show/32692.Gerald_s_Game,Gerald's Game,Stephen King,Horror,English,3.58,"169,075",1992-01-01,332.0,0.0,93900.0,44.27926078028747
https://www.goodreads.com/book/show/25526965-end-of-watch,End of Watch,Stephen King,Horror,English,4.11,"138,559",2016-06-07,432.0,0.0,112000.0,68.71184120465435
https://www.goodreads.com/book/show/17660.The_Tommyknockers,The Tommyknockers,Stephen King,Horror,English,3.6,"157,719",1987-11-10,747.0,0.0,68000.0,40.1368925393566
https://www.goodreads.com/book/show/10584.Desperation,Desperation,Stephen King,Horror,English,3.86,"146,604",1996-01-01,547.0,0.0,77800.0,48.27926078028747
https://www.goodreads.com/book/show/65916344-holly,Holly,Stephen King,Horror,English,4.1,"136,862",2023-09-05,449.0,15600.0,220000.0,75.95619438740589
https://www.goodreads.com/book/show/11597.The_Dark_Half,The Dark Half,Stephen King,Horror,English,3.81,"146,476",1989-01-01,469.0,68.0,0.0,41.281314168377826
https://www.goodreads.com/book/show/59219.The_Talisman,The Talisman,Stephen King,Horror,English,4.11,"134,367",1984-11-08,656.0,0.0,80400.0,37.13347022587269
https://www.goodreads.com/book/show/54798175-later,Later,Stephen King,Horror,,3.97,"135,723",2021-03-02,248.0,0.0,87300.0,73.44558521560575
https://www.goodreads.com/book/show/10611.The_Eyes_of_the_Dragon,The Eyes of the Dragon,Stephen King,Fantasy,English,3.94,"135,385",1987-02-02,427.0,0.0,61700.0,39.36755646817249
https://www.goodreads.com/book/show/38355410-elevation,Elevation,Stephen King,Fiction,English,3.64,"146,104",2018-10-30,146.0,0.0,124000.0,71.10746064339493
https://www.goodreads.com/book/show/13440.Skeleton_Crew,Skeleton Crew,Stephen King,Horror,English,3.97,"129,784",1985-06-21,612.0,0.0,75900.0,37.74948665297741
https://www.goodreads.com/book/show/472343.Duma_Key,Duma Key,Stephen King,Horror,English,3.98,"129,031",2008-01-22,611.0,0.0,71500.0,60.336755646817245
https://www.goodreads.com/book/show/20926278-revival,Revival,Stephen King,Horror,English,3.8,"132,157",2014-11-11,405.0,0.0,76900.0,67.14031485284052
https://www.goodreads.com/book/show/7912007-full-dark-no-stars,"Full Dark, No Stars",Stephen King,Horror,English,4.08,"113,187",2011-01-01,368.0,0.0,95900.0,63.279945242984255
https://www.goodreads.com/book/show/133266.Four_Past_Midnight,Four Past Midnight,Stephen King,Horror,English,3.95,"112,388",1990-01-01,930.0,0.0,60800.0,42.280629705681044
https://www.goodreads.com/book/show/10619.Rose_Madder,Rose Madder,Stephen King,Horror,English,3.75,"118,056",1995-01-01,595.0,0.0,58900.0,47.279945242984255
https://www.goodreads.com/book/show/46015758-if-it-bleeds,If It Bleeds,Stephen King,Horror,English,3.98,"108,496",2020-04-21,438.0,388.0,152000.0,72.58316221765914
https://www.goodreads.com/book/show/10579.Everything_s_Eventual,Everything's Eventual,Stephen King,Horror,English,3.97,"104,492",2002-03-19,605.0,0.0,64600.0,54.49144421629021
https://www.goodreads.com/book/show/11602.Hearts_in_Atlantis,Hearts in Atlantis,Stephen King,Horror,English,3.86,"98,737",1999-09-14,640.0,0.0,45700.0,51.98083504449008
https://www.goodreads.com/book/show/12341557-the-wind-through-the-keyhole,The Wind Through the Keyhole,Stephen King,Fantasy,English,4.14,"87,501",2012-02-21,322.0,0.0,12400.0,64.41889117043121
https://www.goodreads.com/book/show/10588.Nightmares_and_Dreamscapes,Nightmares and Dreamscapes,Stephen King,Horror,English,3.95,"85,129",1993-09-29,836.0,0.0,52400.0,46.02327173169062
https://www.goodreads.com/book/show/10566.Lisey_s_Story,Lisey's Story,Stephen King,Horror,English,3.7,"90,260",2006-01-01,513.0,0.0,67200.0,58.280629705681044
https://www.goodreads.com/book/show/34466922-sleeping-beauties,Sleeping Beauties,Stephen King,Horror,English,3.73,"88,661",2017-09-26,702.0,10400.0,144000.0,70.01505817932923
